Filename,Hue,Saturation,Value
15.jpg_0_2.png,105.0,248.0,128.0
22.jpg_2_4.png,48.0,179.0,49.0
19.jpg_4_0.png,107.0,255.0,139.0
31.jpg_3_4.png,49.0,116.0,55.0
63.jpg_1_0.png,23.0,254.0,197.0
13.jpg_3_2.png,27.0,248.0,192.0
24.jpg_1_4.png,25.0,230.0,191.0
37.jpg_0_4.png,108.0,251.0,134.0
4.jpg_2_4.png,32.0,55.0,127.0
70.jpg_0_0.png,106.0,255.0,154.0
70.jpg_0_1.png,105.0,236.0,123.0
38.jpg_1_4.png,41.0,223.0,113.0
13.jpg_3_3.png,26.0,246.0,191.0
63.jpg_1_1.png,23.0,254.0,201.0
42.jpg_4_4.png,42.0,38.0,97.0
19.jpg_4_1.png,26.0,251.0,184.0
15.jpg_0_3.png,107.0,252.0,132.0
65.jpg_2_1.png,39.0,235.0,116.0
70.jpg_2_3.png,27.0,213.0,58.0
63.jpg_3_3.png,17.0,129.0,104.0
13.jpg_1_1.png,38.0,231.0,129.0
69.jpg_4_1.png,19.0,85.0,35.0
32.jpg_4_4.png,25.0,234.0,186.0
65.jpg_0_3.png,107.0,249.0,131.0
15.jpg_2_1.png,26.0,248.0,162.0
27.jpg_0_2.png,106.0,254.0,189.0
37.jpg_4_1.png,55.0,90.0,32.0
57.jpg_2_0.png,40.0,248.0,107.0
28.jpg_1_3.png,22.0,132.0,111.0
44.jpg_3_0.png,51.0,113.0,33.0
34.jpg_1_2.png,23.0,90.0,58.0
7.jpg_3_2.png,50.0,127.0,37.0
51.jpg_1_0.png,42.0,221.0,127.0
16.jpg_1_4.png,26.0,108.0,107.0
1.jpg_0_2.png,41.0,210.0,155.0
42.jpg_0_0.png,25.0,234.0,155.0
32.jpg_2_2.png,23.0,131.0,111.0
52.jpg_4_3.png,26.0,229.0,176.0
57.jpg_0_2.png,39.0,236.0,116.0
47.jpg_4_1.png,23.0,40.0,32.0
27.jpg_2_0.png,26.0,240.0,195.0
